Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202000000131;3;34E;0;;2;3;0;2;0;893;1;; -1;2;2;1;70
202000000132;3;603;0;;2;4;0;1;20;951;1;; -1;1;0;1;50
202000000133;3;RD11;0;;2;2;0;1;3;950;1;; -1;1;0;1;70
202000000134;4;DES PARCS(allée);0;;2;2;0;1;0;0;1;; -1;2;5;6;50
202000000135;4;ANSE D'  (rue);0;;2;2;0;1;1;0;1;; -1;1;0;1;50
202000000136;4;9;0;;2;4;1;1;0;0;1;; -1;2;0;1;50
202000000137;4;Napoleon Joseph Sarda-Garriga ( rue de );0;;2;2;0;1;0;0;3;; -1;1;0;1;50
202000000138;4;ROIS-DE-MAJORQUE (DES);0;;1;1;0;1;0;0;1;; -1;1;0;1;50
202000000139;4;;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202000000140;4;;0;;2;4;0;1;0;0;1;; -1;2;0;1;50
202000000141;4;rue Auger;0;;2;2;0;1;(1);(1);1;; -1;2;0;1;50
202000000142;4;;0;;1;1;0;2;(1);(1);2;; -1;3;0;1;30
202000000143;4;BARATTE (FAUBOURG);0;;2;2;0;1;0;0;1;; -1;2;0;1;50
202000000144;4;MARNE (AVENUE DE LA);0;;2;3;0;1;0;0;1;; -1;2;0;1;50
202000000145;3;465;0;;3;0;0;1;0;530;1;;0;1;0;1;70
202000000146;4;;0;;2;2;1;1;0;0;1;; -1;2;0;3;50
202000000147;4;;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202000000148;4;;0;;1;2;0;1;0;0;1;; -1;2;5;3;50
202000000149;3;951;0;;3;6;2;3;21;500;1;; -1;2;2;1;70
202000000150;3;1205;0;D;2;2;0;1;38;800;1;; -1;1;0;1;70
202000000151;2;2;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;70
202000000152;3;114;-1;;-1;2;0;3;(1);(1);2;; -1;1;0;3;-1
202000000153;2;2;0;;2;2;0;1;(1);(1);1;; -1;1;0;3;80
202000000154;3;19;-1;B;1;1;0;1;(1);(1);3;; -1;1;3;8;50
